100,88480,47859,50900,1000,63209,6260
200,84440,77459,27510,1570,37749,9269
300,154730,43620,37339,2200,70950,16140
400,318529,85030,48549,3250,135579,14450
500,161270,54800,41770,3669,201670,10449
600,104260,22480,53719,4859,328600,5610
700,171769,29479,53319,5500,394799,5990
800,198550,40930,72629,6510,624420,7399
900,230790,49290,72089,7220,712020,7719
1000,274789,55619,77270,3440,835420,8359
1100,338760,65800,90929,2820,960439,9899
1200,376340,78659,99259,3580,1221510,11120
1300,445660,90010,110639,6660,1348549,12490
1400,593190,141689,126680,1730,1568249,12389
1500,677200,139280,141629,1740,2247950,14450
1600,702159,134440,131030,1560,2066839,13740
1700,748509,163440,148460,1520,2322020,14830
1800,816750,171489,140529,1570,2593889,16790
1900,916010,191819,157370,3890,2843519,17430
2000,1008200,205429,161200,1719,3103520,17939
2100,1116090,224739,168479,1930,3412719,19789
2200,1203310,252920,177070,1959,3817569,24870
2300,1398529,276749,188209,2310,4193620,22139
2400,1467259,294130,196960,2329,4515620,21610
2500,1522189,305250,195339,2029,4732330,22679
2600,1675319,331430,308790,3900,5253629,26520
2700,1735920,350020,155460,2099,5417150,27180
2800,2027860,405500,143409,2249,5855149,30570
2900,1970879,396100,148049,2320,6427770,24900
3000,2169099,421370,153390,2299,6613560,25130
3100,2490890,477059,161950,2460,7051290,29380
3200,2428150,498049,173750,2550,7784000,29830
3300,2717410,514690,167750,2589,8106259,28290
3400,2771840,542839,186290,2690,8553420,28639
3500,2935779,577299,181019,2790,9271880,29489
3600,3245110,689990,185440,2790,9824989,32130
3700,3236790,652409,191500,2929,10065270,38349
3800,3520029,730010,287469,3299,10963389,33280
3900,4030580,726979,313850,3100,11514910,34840
4000,3870669,766260,294120,3119,11749670,38820
4100,4145569,819530,296849,3329,12992650,42070
4200,4344449,841600,318850,3339,13027870,39569
4300,4293590,853760,303599,3369,13561930,38790
4400,4557049,898910,329139,3380,14268429,43600
4500,4695989,946170,336239,3570,15087799,46660
4600,5107340,1028510,364240,3869,15484150,45379
4700,5239170,1042610,326789,3590,16287610,53330
4800,5366390,1055719,357850,5479,16892120,53860
4900,5494210,1129140,360079,3710,17732240,53769
5000,5752040,1182659,435289,3890,18405449,45230
